disease,step,rr_mean,rr_lci,rr_uci
cancer,0,1.01129952272857,1,1.02352543117884
cancer,100,1.01025032814532,1,1.02146169053083
cancer,200,1.00920113356207,1,1.01938992261616
cancer,300,1.00815193897883,1,1.01727378031147
cancer,400,1.00710274439558,0.999958749702792,1.01517004316712
cancer,500,1.00605354981233,0.999882021618312,1.01305540455924
cancer,600,1.00500435522908,0.999787799246463,1.01096254850738
cancer,700,1.00395516064584,0.999685789126379,1.00882576596318
cancer,800,1.00290596606259,0.999585694731954,1.0068289599612
cancer,900,1.00185677147934,0.999473183100761,1.00478486477609
cancer,1000,1.0008075768961,0.999355935149481,1.00272505540442
cancer,1100,0.999758382312849,0.999141896485046,1.00071711395727
cancer,1200,0.998709187729601,0.998159495976682,0.99985944721439
cancer,1300,0.997659993146354,0.99631078416747,0.999860545283027
cancer,1400,0.996610798563107,0.994299960430741,0.999861643351665
cancer,1500,0.99556160397986,0.99219705697984,0.999862741420302
cancer,1600,0.994512409396612,0.990057733369595,0.99986383948894
cancer,1700,0.993463214813365,0.987916852778952,0.999864937557577
cancer,1800,0.992414020230118,0.985803932619186,0.999866035626215
cancer,1900,0.991364825646871,0.983683194590176,0.999867133694853
cancer,2000,0.990315631063624,0.981562441329563,0.99986823176349
cancer,2100,0.989266436480376,0.97945080531349,0.999869329832128
cancer,2200,0.988217241897129,0.977339216358932,0.999870427900765
cancer,2300,0.987168047313882,0.975227755698925,0.999871525969403
cancer,2400,0.986118852730635,0.973116295038919,0.99987262403804
cancer,2500,0.985069658147387,0.971004834378912,0.999873722106678
cancer,2600,0.98402046356414,0.968893488609435,0.999874820175316
cancer,2700,0.982971268980893,0.966782347542564,0.999875918243953
cancer,2800,0.981922074397646,0.964671206475692,0.999877016312591
cancer,2900,0.980872879814399,0.962560065408821,0.999878114381229
cancer,3000,0.979823685231151,0.96044892434195,0.999879212449866
cancer,3100,0.978774490647904,0.958337783275078,0.999880310518504
cancer,3200,0.977725296064657,0.956226642208207,0.999881408587141
cancer,3300,0.97667610148141,0.954115501141336,0.999882506655779
cancer,3400,0.975626906898162,0.952004360074465,0.999883604724416
cancer,3500,0.974577712314915,0.949893219007593,0.999884702793054
cancer,3600,0.973528517731668,0.947782077940722,0.999885800861692
cancer,3700,0.972479323148421,0.94567093687385,0.999886898930329
cancer,3800,0.971430128565174,0.943559795806979,0.999887996998967
cancer,3900,0.970380933981926,0.941448654740108,0.999889095067604
cancer,4000,0.969331739398679,0.939337513673236,0.999890193136242
cancer,4100,0.968282544815432,0.937226372606365,0.999891291204879
cancer,4200,0.967233350232185,0.935115231539494,0.999892389273517
cancer,4300,0.966184155648937,0.933004090472622,0.999893487342155
cancer,4400,0.96513496106569,0.930892949405751,0.999894585410792
cancer,4500,0.964085766482443,0.92878180833888,0.99989568347943
cancer,4600,0.963036571899196,0.926670667272009,0.999896781548067
cancer,4700,0.961987377315948,0.924559526205137,0.999897879616705
cancer,4800,0.960938182732701,0.922448385138266,0.999898977685343
cancer,4900,0.959888988149454,0.920337244071395,0.99990007575398
cancer,5000,0.958839793566207,0.918226103004523,0.999901173822618
cancer,5100,0.95779059898296,0.916114961937652,0.999902271891255
cancer,5200,0.956741404399713,0.914003820870781,0.999903369959893
cancer,5300,0.955692209816465,0.911892679803909,0.99990446802853
cancer,5400,0.954643015233218,0.909781538737038,0.999905566097168
cancer,5500,0.953593820649971,0.907670397670167,0.999906664165806
cancer,5600,0.952544626066724,0.905559256603295,0.999907762234443
cancer,5700,0.951495431483476,0.903448115536424,0.999908860303081
cancer,5800,0.950446236900229,0.901336974469553,0.999909958371718
cancer,5900,0.949397042316982,0.899225833402681,0.999911056440356
cancer,6000,0.948347847733735,0.89711469233581,0.999912154508993
cancer,6100,0.947298653150487,0.895003551268939,0.999913252577631
cancer,6200,0.94624945856724,0.892892410202067,0.999914350646269
cancer,6300,0.945200263983993,0.890781269135196,0.999915448714906
cancer,6400,0.944151069400746,0.888670128068325,0.999916546783544
cancer,6500,0.943101874817498,0.886558987001453,0.999917644852181
cancer,6600,0.942052680234251,0.884447845934582,0.999918742920819
cancer,6700,0.941003485651004,0.882336704867711,0.999919840989457
cancer,6800,0.939954291067757,0.880225563800839,0.999920939058094
cancer,6900,0.93890509648451,0.878114422733968,0.999922037126732
cancer,7000,0.937855901901262,0.876003281667097,0.999923135195369
cancer,7100,0.936806707318015,0.873892140600225,0.999924233264007
cancer,7200,0.935757512734768,0.871780999533354,0.999925331332644
cancer,7300,0.934708318151521,0.869669858466483,0.999926429401282
cancer,7400,0.933659123568274,0.867558717399611,0.99992752746992
cancer,7500,0.932609928985026,0.86544757633274,0.999928625538557
cancer,7600,0.931560734401779,0.863336435265869,0.999929723607195
cancer,7700,0.930511539818532,0.861225294198997,0.999930821675832
cancer,7800,0.929462345235285,0.859114153132126,0.99993191974447
cancer,7900,0.928413150652037,0.857003012065255,0.999933017813107
cancer,8000,0.92736395606879,0.854891870998383,0.999934115881745
cancer,8100,0.926314761485543,0.852780729931512,0.999935213950383
cancer,8200,0.925265566902296,0.850669588864641,0.99993631201902
cancer,8300,0.924216372319048,0.848558447797769,0.999937410087658
cancer,8400,0.923167177735801,0.846447306730898,0.999938508156296
cancer,8500,0.922117983152554,0.844336165664027,0.999939606224933
cancer,8600,0.921068788569307,0.842225024597155,0.999940704293571
cancer,8700,0.92001959398606,0.840113883530284,0.999941802362208
cancer,8800,0.918970399402813,0.838002742463413,0.999942900430846
cancer,8900,0.917921204819565,0.835891601396541,0.999943998499483
cancer,9000,0.916872010236318,0.83378046032967,0.999945096568121
cancer,9100,0.915822815653071,0.831669319262799,0.999946194636759
cancer,9200,0.914773621069824,0.829558178195928,0.999947292705396
cancer,9300,0.913724426486576,0.827447037129056,0.999948390774034
cancer,9400,0.912675231903329,0.825335896062185,0.999949488842671
cancer,9500,0.911626037320082,0.823224754995314,0.999950586911309
cancer,9600,0.910576842736835,0.821113613928442,0.999951684979946
cancer,9700,0.909527648153587,0.819002472861571,0.999952783048584
cancer,9800,0.90847845357034,0.8168913317947,0.999953881117222
cancer,9900,0.907429258987093,0.814780190727828,0.999954979185859
cancer,10000,0.906380064403846,0.812669049660957,0.999956077254497
cancer,10100,0.905330869820599,0.810557908594086,0.999957175323134
cancer,10200,0.904281675237351,0.808446767527214,0.999958273391772
cancer,10300,0.903232480654104,0.806335626460343,0.99995937146041
cancer,10400,0.902183286070857,0.804224485393472,0.999960469529047
cancer,10500,0.90113409148761,0.8021133443266,0.999961567597685
cancer,10600,0.900084896904363,0.800002203259729,0.999962665666322
cancer,10700,0.899035702321115,0.797891062192858,0.99996376373496
cancer,10800,0.897986507737868,0.795779921125986,0.999964861803597
cancer,10900,0.896937313154621,0.793668780059115,0.999965959872235
