disease,step,rr_mean,rr_lci,rr_uci
cancer,630,1.00468959685411,0.999757081313584,1.01029774187009
cancer,640,1.00458467739579,0.999746892500242,1.01007585862499
cancer,650,1.00447975793746,0.999736805152055,1.00986874155091
cancer,660,1.00437483847914,0.999731221448019,1.00966546507028
cancer,670,1.00426991902081,0.999725756390936,1.00946218858965
cancer,680,1.00416499956249,0.999712306140314,1.00925891210902
cancer,690,1.00406008010416,0.999698923200274,1.00903987890742
cancer,700,1.00395516064584,0.999685789126379,1.00882576596318
cancer,710,1.00385024118751,0.999675820695152,1.0086277260729
cancer,720,1.00374532172919,0.999665208706892,1.00842968618261
cancer,730,1.00364040227086,0.999654852369719,1.00823164629233
cancer,740,1.00353548281254,0.999644556559556,1.00803360640205
cancer,750,1.00343056335421,0.999634371173853,1.00783556651176
cancer,760,1.00332564389589,0.999624397597096,1.00763671343209
cancer,770,1.00322072443756,0.999613883900509,1.00743406913684
cancer,780,1.00311580497924,0.999603851156758,1.00723573517521
cancer,790,1.00301088552091,0.99960011852003,1.00703755080232
cancer,800,1.00290596606259,0.999585694731954,1.0068289599612
cancer,810,1.00280104660427,0.999573140458089,1.0066233255019
cancer,820,1.00269612714594,0.999566194532962,1.00642067679382
cancer,830,1.00259120768762,0.999552777980787,1.0062175827293
cancer,840,1.00248628822929,0.999542445612745,1.00601332219517
cancer,850,1.00238136877097,0.999529162208542,1.00581189999084
cancer,860,1.00227644931264,0.99952029372471,1.00560912834385
cancer,870,1.00217152985432,0.999511425240878,1.00540205580032
cancer,880,1.00206661039599,0.999501417484006,1.00519528381841
cancer,890,1.00196169093767,0.999484302559255,1.00499468346376
cancer,900,1.00185677147934,0.999473183100761,1.00478486477609
cancer,910,1.00175185202102,0.999470321537874,1.00457402419296
cancer,920,1.00164693256269,0.999465643732026,1.00436290455197
cancer,930,1.00154201310437,0.999448362009292,1.00416120776297
cancer,940,1.00143709364604,0.999433402524617,1.00395079116792
cancer,950,1.00133217418772,0.999423431559812,1.00375087479883
cancer,960,1.00122725472939,0.999412955121263,1.00353330858725
cancer,970,1.00112233527107,0.999396677626924,1.00332517104702
cancer,980,1.00101741581275,0.999381405061354,1.00312479382096
cancer,990,1.00091249635442,0.9993615918232,1.00292356990299
cancer,1000,1.0008075768961,0.999355935149481,1.00272505540442
cancer,1010,1.00070265743777,0.999321597412374,1.00252652628312
cancer,1020,1.00059773797945,0.999301370750049,1.00232494357429
cancer,1030,1.00049281852112,0.999281362172222,1.00212331088694
cancer,1040,1.0003878990628,0.999250265719782,1.00192413781108
cancer,1050,1.00028297960447,0.999231817844354,1.00172163226586
cancer,1060,1.00017806014615,0.999213820596407,1.00152274682705
cancer,1070,1.00007314068782,0.999199681138444,1.00131330828657
cancer,1080,0.999968221229498,0.999181544183303,1.00111543506677
cancer,1090,0.999863301771173,0.999159792663425,1.00092069707536
cancer,1100,0.999758382312849,0.999141896485046,1.00071711395727
cancer,1110,0.999653462854524,0.999122611768127,1.00051626150913
cancer,1120,0.999548543396199,0.999084539859162,1.00033294672567
cancer,1130,0.999443623937874,0.999013990949494,1.00014642871852
cancer,1140,0.99933870447955,0.998941525393858,1
cancer,1150,0.999233785021225,0.998862091830465,0.999906298027949
cancer,1160,0.9991288655629,0.998780858834059,0.999859007986935
cancer,1170,0.999023946104576,0.998682895047191,0.999859117793798
cancer,1180,0.998919026646251,0.99852485410932,0.999859227600662
cancer,1190,0.998814107187926,0.998340468261036,0.999859337407526
cancer,1200,0.998709187729601,0.998159495976682,0.99985944721439
cancer,1210,0.998604268271277,0.997976013715953,0.999859557021253
cancer,1220,0.998499348812952,0.997792531455223,0.999859666828117
cancer,1230,0.998394429354627,0.997609095268545,0.999859776634981
cancer,1240,0.998289509896302,0.997422147830474,0.999859886441845
cancer,1250,0.998184590437978,0.997233107739968,0.999859996248708
cancer,1260,0.998079670979653,0.997048690373446,0.999860106055572
cancer,1270,0.997974751521328,0.996864281619535,0.999860215862436
cancer,1280,0.997869832063003,0.996679043241782,0.999860325669299
cancer,1290,0.997764912604679,0.996495248881969,0.999860435476163
cancer,1300,0.997659993146354,0.99631078416747,0.999860545283027
cancer,1310,0.997555073688029,0.99612631945297,0.999860655089891
